SequenceNumber;SwingPhase;StickGlovePlane_X;StickGlovePlane_Y;StickGlovePlane_Z;FilterItem;FilterValue
1953;1;-0,009403368;-0,100235491;-0,078825567;StickGloveNormal_X;0,073542297
1954;1;-0,009419728;-0,100409885;-0,078962711;StickGloveNormal_Y;0,783926419
1955;1;-0,009436101;-0,100584412;-0,07909996;StickGloveNormal_Z;0,616482684
1956;1;-0,00945273;-0,100761669;-0,079239355;;
1957;1;-0,009468697;-0,100931876;-0,079373207;;
1958;1;-0,009484679;-0,101102228;-0,079507172;;
1959;1;-0,009500903;-0,101275168;-0,079643173;;
1960;1;-0,009516989;-0,101446643;-0,079778022;;
1961;1;-0,009531146;-0,101597553;-0,079896698;;
1962;1;-0,009545291;-0,101748331;-0,08001527;;
1963;1;-0,009559431;-0,101899058;-0,080133803;;
1964;1;-0,009573662;-0,102050751;-0,080253094;;
1965;1;-0,009589325;-0,102217711;-0,080384392;;
1966;1;-0,009603096;-0,102364507;-0,080499833;;
1967;1;-0,009616807;-0,102510657;-0,080614766;;
1968;1;-0,009629888;-0,102650094;-0,08072442;;
1969;1;-0,00964301;-0,102789963;-0,080834413;;
1970;1;-0,009656988;-0,102938962;-0,080951586;;
1971;1;-0,009670809;-0,103086296;-0,081067451;;
1972;1;-0,009682542;-0,103211358;-0,0811658;;
1973;1;-0,009694242;-0,103336079;-0,081263881;;
1974;1;-0,009705778;-0,103459048;-0,081360584;;
1975;1;-0,009715165;-0,103559106;-0,08143927;;
1976;1;-0,009724635;-0,103660052;-0,081518655;;
1977;1;-0,009735609;-0,103777027;-0,081610644;;
1978;1;-0,009748721;-0,103916796;-0,081720559;;
1979;1;-0,009794379;-0,104403487;-0,082103295;;
1980;1;-0,009854657;-0,105046027;-0,08260859;;
1981;1;-0,009910786;-0,105644329;-0,083079098;;
1982;1;-0,00990655;-0,105599184;-0,083043595;;
1983;1;-0,009902346;-0,105554365;-0,08300835;;
1984;1;-0,009897907;-0,105507053;-0,082971143;;
1985;1;-0,009895272;-0,105478966;-0,082949056;;
1986;1;-0,009918892;-0,105730742;-0,083147053;;
1987;1;-0,00993814;-0,105935918;-0,083308404;;
1988;1;-0,009956929;-0,106136194;-0,083465902;;
1989;1;-0,009969348;-0,106268582;-0,083570013;;
1990;1;-0,009981796;-0,10640127;-0,083674359;;
1991;1;-0,009994437;-0,106536019;-0,083780326;;
1992;1;-0,010007065;-0,106670619;-0,083886176;;
1993;1;-0,010019545;-0,106803656;-0,083990797;;
1994;1;-0,010034459;-0,106962627;-0,084115812;;
1995;1;-0,010049621;-0,107124249;-0,084242912;;
1996;1;-0,010068614;-0,107326703;-0,084402123;;
1997;1;-0,010087499;-0,107528016;-0,084560436;;
1998;1;-0,010104807;-0,107712505;-0,084705519;;
1999;1;-0,010122114;-0,107896996;-0,084850603;;
2000;1;-0,010139346;-0,108080674;-0,084995049;;
2001;1;-0,010156677;-0,108265412;-0,085140327;;
2002;1;-0,010175543;-0,10846652;-0,08529848;;
2003;1;-0,010195261;-0,108676701;-0,085463766;;
2004;1;-0,01021482;-0,10888519;-0,085627723;;
2005;1;-0,010232287;-0,109071384;-0,085774147;;
2006;1;-0,010249675;-0,109256737;-0,085919909;;
2007;1;-0,010266211;-0,109432997;-0,08605852;;
2008;1;-0,010282639;-0,109608109;-0,086196229;;
2009;1;-0,010297746;-0,109769142;-0,086322866;;
2010;1;-0,010310153;-0,1099014;-0,086426875;;
2011;1;-0,010322371;-0,110031641;-0,086529296;;
2012;1;-0,010332359;-0,110138109;-0,086613023;;
2013;1;-0,01034222;-0,110243216;-0,08669568;;
2014;1;-0,010350837;-0,11033507;-0,086767914;;
2015;1;-0,010359273;-0,110425;-0,086838635;;
2016;1;-0,010365687;-0,110493363;-0,086892396;;
2017;1;-0,01036951;-0,110534119;-0,086924447;;
2018;1;-0,010373221;-0,110573672;-0,086955551;;
2019;1;-0,010376303;-0,110606522;-0,086981385;;
2020;1;-0,010379074;-0,110636061;-0,087004614;;
2021;1;-0,010378565;-0,11063064;-0,087000351;;
2022;1;-0,010377915;-0,110623708;-0,0869949;;
2023;1;-0,010376299;-0,110606479;-0,086981351;;
2024;1;-0,010370079;-0,110540183;-0,086929215;;
2025;1;-0,010363624;-0,110471372;-0,086875102;;
2026;1;-0,010355409;-0,110383802;-0,086806237;;
2027;1;-0,010346736;-0,110291357;-0,086733538;;
2028;1;-0,010332956;-0,110144467;-0,086618023;;
2029;1;-0,010318748;-0,109993015;-0,08649892;;
2030;1;-0,010299998;-0,109793147;-0,086341743;;
2031;1;-0,010278732;-0,109566467;-0,086163482;;
2032;1;-0,01025711;-0,109335988;-0,085982232;;
2033;1;-0,010233473;-0,109084027;-0,085784089;;
2034;1;-0,010209449;-0,108827944;-0,085582705;;
2035;1;-0,010182312;-0,108538674;-0,085355221;;
2036;1;-0,010154709;-0,108244438;-0,085123833;;
2037;1;-0,010122625;-0,107902442;-0,084854886;;
2038;1;-0,010090738;-0,10756254;-0,084587586;;
2039;1;-0,010063546;-0,10727268;-0,084359639;;
2040;1;-0,010024948;-0,106861243;-0,084036083;;
2041;1;-0,009985382;-0,106439493;-0,083704418;;
2042;1;-0,009934074;-0,10589257;-0,083274315;;
2043;1;-0,009882771;-0,105345702;-0,082844256;;
2044;1;-0,00983445;-0,104830626;-0,082439199;;
2045;1;-0,009785909;-0,104313206;-0,082032298;;
2046;1;-0,00973665;-0,103788124;-0,081619371;;
2047;1;-0,009680526;-0,103189871;-0,081148902;;
2048;1;-0,009624033;-0,102587679;-0,080675337;;
2049;1;-0,009564874;-0,101957076;-0,080179428;;
2050;1;-0,009505338;-0,101322448;-0,079680354;;
2051;1;-0,009442675;-0,100654493;-0,079155072;;
2052;1;-0,009379741;-0,099983644;-0,078627514;;
2053;1;-0,009315233;-0,099296013;-0,078086758;;
2054;1;-0,009251755;-0,098619373;-0,077554646;;
2055;1;-0,009188069;-0,097940513;-0,077020788;;
2056;1;-0,009123358;-0,097250721;-0,076478333;;
2057;1;-0,00905833;-0,096557555;-0,075933224;;
2058;1;-0,008990561;-0,095835165;-0,075365134;;
2059;1;-0,008922679;-0,095111576;-0,074796101;;
2060;1;-0,008854868;-0,094388743;-0,074227663;;
2061;1;-0,008787162;-0,093667033;-0,073660107;;
2062;1;-0,008719364;-0,092944328;-0,073091769;;
2063;1;-0,008651653;-0,09222257;-0,072524176;;
2064;1;-0,008583561;-0,091496739;-0,071953379;;
2065;1;-0,008511249;-0,090725928;-0,071347211;;
2066;1;-0,008439021;-0,089956004;-0,07074174;;
2067;1;-0,008369542;-0,089215394;-0,070159321;;
2068;1;-0,008300092;-0,088475087;-0,069577141;;
2069;1;-0,008232362;-0,087753125;-0,069009387;;
2070;1;-0,008167273;-0,087059301;-0,068463762;;
2071;1;-0,008102036;-0,086363904;-0,067916899;;
2072;1;-0,008035497;-0,085654633;-0,067359125;;
2073;1;-0,00796917;-0,084947614;-0,066803123;;
2074;1;-0,007906749;-0,084282243;-0,066279873;;
2075;1;-0,007844803;-0,083621926;-0,065760597;;
2076;1;-0,007790797;-0,083046247;-0,065307881;;
2077;1;-0,007740876;-0,082514114;-0,06488941;;
2078;1;-0,007690948;-0,081981897;-0,064470872;;
2079;1;-0,007641497;-0,081454771;-0,064056339;;
2080;1;-0,007592496;-0,08093245;-0,063645583;;
2081;1;-0,007550834;-0,080488348;-0,063296339;;
2082;1;-0,007509323;-0,08004586;-0,062948365;;
2083;1;-0,007470945;-0,07963677;-0,062626656;;
2084;1;-0,007433373;-0,079236268;-0,062311699;;
2085;1;-0,007396028;-0,078838189;-0,061998648;;
2086;1;-0,007363269;-0,078488994;-0,06172404;;
2087;1;-0,007330536;-0,078140076;-0,06144965;;
2088;1;-0,007299624;-0,077810567;-0,061190523;;
2089;1;-0,007268894;-0,077483;-0,060932923;;
2090;1;-0,007242349;-0,077200049;-0,060710409;;
2091;1;-0,007217448;-0,076934616;-0,060501671;;
2092;1;-0,007192429;-0,076667918;-0,060291939;;
2093;1;-0,007167299;-0,076400046;-0,060081283;;
2094;1;-0,007142286;-0,076133419;-0,059871607;;
2095;1;-0,007120905;-0,07590551;-0,059692378;;
2096;1;-0,007099289;-0,075675096;-0,05951118;;
2097;1;-0,007076298;-0,075430017;-0,059318449;;
2098;1;-0,007054193;-0,075194395;-0,059133155;;
2099;1;-0,00703175;-0,074955155;-0,058945016;;
2100;1;-0,007007128;-0,074692699;-0,058738619;;
2101;1;-0,00698213;-0,074426237;-0,058529072;;
2102;1;-0,006954575;-0,074132506;-0,058298081;;
2103;1;-0,006926889;-0,073837394;-0,058066004;;
2104;1;-0,00690036;-0,073554608;-0,05784362;;
2105;1;-0,006873719;-0,073270618;-0,05762029;;
2106;1;-0,00684799;-0,072996367;-0,057404618;;
2107;1;-0,006815355;-0,072648486;-0,057131043;;
2108;1;-0,006782443;-0,072297664;-0,056855155;;
2109;1;-0,006748672;-0,071937684;-0,056572065;;
2110;1;-0,006714678;-0,071575317;-0,056287099;;
2111;1;-0,006680711;-0,07121325;-0,056002368;;
2112;1;-0,006646274;-0,070846166;-0,055713691;;
2113;1;-0,006607897;-0,070437088;-0,055391991;;
2114;1;-0,006564411;-0,069973547;-0,055027461;;
2115;1;-0,006520348;-0,069503854;-0,054658092;;
2116;1;-0,006471057;-0,068978431;-0,054244897;;
2117;1;-0,006421343;-0,068448508;-0,053828164;;
2118;1;-0,006368817;-0,067888608;-0,053387857;;
2119;1;-0,006315618;-0,067321533;-0,052941906;;
2120;1;-0,006255708;-0,06668292;-0,052439699;;
2121;1;-0,006189612;-0,065978366;-0,051885635;;
2122;1;-0,006122929;-0,06526755;-0,051326647;;
2123;1;-0,006051397;-0,064505058;-0,05072702;;
2124;1;-0,005979326;-0,063736816;-0,050122872;;
2125;1;-0,005903182;-0,06292515;-0,049484575;;
2126;1;-0,005826661;-0,062109474;-0,048843124;;
2127;1;-0,005748183;-0,061272939;-0,048185269;;
2128;1;-0,005664715;-0,060383202;-0,047485577;;
2129;1;-0,005580598;-0,059486559;-0,046780454;;
2130;1;-0,005490681;-0,058528081;-0,046026703;;
2131;1;-0,005400286;-0,057564522;-0,045268956;;
2132;1;-0,005306679;-0,056566706;-0,044484271;;
2133;1;-0,005212728;-0,055565238;-0,043696712;;
2134;1;-0,005117237;-0,054547343;-0,042896235;;
2135;1;-0,005018919;-0,053499325;-0,042072071;;
2136;1;-0,004920143;-0,05244642;-0,041244062;;
2137;1;-0,00481824;-0,051360185;-0,040389842;;
2138;1;-0,004715902;-0,050269301;-0,039531968;;
2139;1;-0,004610697;-0,049147867;-0,038650067;;
2140;1;-0,004504985;-0,048021029;-0,037763918;;
2141;1;-0,004395566;-0,04685467;-0,036846689;;
2142;1;-0,004285883;-0,045685504;-0,035927252;;
2143;1;-0,004176034;-0,044514567;-0,035006423;;
2144;1;-0,004063443;-0,0433144;-0,034062607;;
2145;1;-0,003950532;-0,042110817;-0,033116104;;
2146;1;-0,003836794;-0,040898425;-0,032162675;;
2147;1;-0,00372262;-0,039681386;-0,031205592;;
2148;1;-0,003605799;-0,038436129;-0,030226317;;
2149;1;-0,00348861;-0,037186949;-0,029243957;;
2150;1;-0,003369786;-0,035920336;-0,028247887;;
2151;1;-0,003250757;-0,034651548;-0,027250108;;
2152;1;-0,003131298;-0,033378165;-0,026248715;;
2153;1;-0,003009201;-0,032076667;-0,025225212;;
2154;1;-0,00288691;-0,030773105;-0,024200086;;
2155;1;-0,002765503;-0,029478966;-0,023182369;;
2156;1;-0,002643799;-0,028181659;-0,022162163;;
2157;1;-0,00252106;-0,026873315;-0,021133276;;
2158;1;-0,002397171;-0,025552721;-0,020094756;;
2159;1;-0,002273154;-0,024230761;-0,019055162;;
2160;1;-0,00215037;-0,022921933;-0,018025894;;
2161;1;-0,002027373;-0,021610848;-0,016994852;;
2162;1;-0,00190425;-0,020298413;-0,015962748;;
2163;1;-0,001780891;-0,018983466;-0,014928669;;
2164;1;-0,001657033;-0,017663193;-0,013890401;;
2165;1;-0,00153273;-0,01633818;-0,012848406;;
2166;1;-0,001408412;-0,015013015;-0,011806291;;
2167;1;-0,001286837;-0,013717078;-0,010787162;;
2168;1;-0,001165156;-0,01242002;-0,009767151;;
2169;1;-0,001044914;-0,011138294;-0,008759196;;
2170;1;-0,000924647;-0,009856306;-0,007751036;;
2171;1;-0,000807479;-0,008607344;-0,006768848;;
2172;1;-0,000697857;-0,007438831;-0,005849925;;
2173;1;-0,000589443;-0,006283187;-0,004941122;;
2174;1;-0,000496438;-0,005291793;-0,004161486;;
2175;1;-0,000404078;-0,004307278;-0,00338726;;
2176;1;-0,000320193;-0,003413106;-0,00268408;;
2177;1;-0,000233503;-0,002489036;-0,001957387;;
2178;1;-0,000107509;-0,00114599;-0,000901211;;
2179;1;1,86E-05;0,000198211;0,000155874;;
2180;1;0,000139865;0,001490899;0,001172449;;
2181;1;0,000240439;0,00256297;0,002015529;;
2182;1;0,00034091;0,003633942;0,002857746;;
2183;1;0,000434253;0,004628938;0,003640215;;
2184;1;0,000528203;0,005630395;0,004427763;;
2185;1;0,000626237;0,006675392;0,005249554;;
2186;1;0,000724528;0,007723127;0,006073496;;
2187;1;0,000821133;0,008752891;0,006883306;;
2188;1;0,000914825;0,009751601;0,007668695;;
2189;1;0,001008783;0,010753153;0,00845632;;
2190;1;0,001099844;0,011723818;0,009219654;;
2191;1;0,001191291;0,012698607;0,009986232;;
2192;1;0,001281243;0,013657454;0,010740273;;
2193;1;0,00137159;0,014620507;0,011497622;;
2194;1;0,001459883;0,015561671;0,012237757;;
2195;1;0,001545304;0,016472212;0,01295381;;
2196;1;0,001631436;0,017390341;0,01367583;;
2197;1;0,001719242;0,018326316;0,014411883;;
2198;1;0,00180773;0,019269551;0,015153648;;
2199;1;0,00189678;0,020218783;0,015900127;;
2200;1;0,001986423;0,021174335;0,016651576;;
2201;1;0,002075008;0,022118615;0,017394162;;
2202;1;0,002163768;0,023064749;0,018138206;;
2203;1;0,002253418;0,024020384;0,018889721;;
2204;1;0,002345998;0,025007236;0,019665785;;
2205;1;0,002439498;0,026003907;0,02044957;;
2206;1;0,002536245;0,027035179;0,021260566;;
2207;1;0,002633984;0,028077037;0,022079887;;
2208;1;0,002735801;0,029162353;0,022933384;;
2209;1;0,002838495;0,030257027;0,02379424;;
2210;1;0,002943761;0,031379109;0,024676649;;
2211;1;0,003052337;0,032536485;0,025586814;;
2212;1;0,003161797;0,033703274;0,026504382;;
2213;1;0,003273723;0,034896349;0,02744262;;
2214;1;0,003386756;0,036101227;0,028390141;;
2215;1;0,003505631;0,037368383;0,029386637;;
2216;1;0,003625626;0,03864747;0,030392516;;
2217;1;0,003752056;0,039995156;0,031452341;;
2218;1;0,003883452;0,041395779;0,032553796;;
2219;1;0,004015852;0,042807098;0,033663663;;
2220;1;0,004152746;0,044266328;0,034811207;;
2221;1;0,004290483;0,045734535;0,03596581;;
2222;1;0,004430869;0,047230982;0,037142622;;
2223;1;0,004572233;0,048737859;0,038327636;;
2224;1;0,004719103;0,050303425;0,039558802;;
2225;1;0,004871388;0,051926717;0,040835366;;
2226;1;0,005024365;0,053557378;0,042117723;;
2227;1;0,005178486;0,055200238;0,043409675;;
2228;1;0,005333489;0,056852493;0,044709014;;
2229;1;0,005492946;0,058552224;0,046045689;;
2230;1;0,005653286;0,060261377;0,047389773;;
2231;1;0,005818679;0,062024396;0,048776218;;
2232;1;0,005987452;0,06382343;0,050190986;;
2233;1;0,006157099;0,065631785;0,051613082;;
2234;1;0,006331893;0,06749501;0,05307833;;
2235;1;0,006507319;0,069364971;0,054548874;;
2236;1;0,00668436;0,071252144;0,056032954;;
2237;1;0,006861936;0,073145024;0,057521522;;
2238;1;0,007040221;0,075045452;0,059016026;;
2239;1;0,007221867;0,076981713;0,060538709;;
2240;1;0,007404054;0,078923747;0,062065931;;
2241;1;0,007588224;0,080886909;0,063609769;;
2242;1;0,007772786;0,082854258;0,0651569;;
2243;1;0,007958108;0,084829697;0,066710393;;
2244;1;0,008143708;0,086808115;0,068266228;;
2245;1;0,008328918;0,088782362;0,069818783;;
2246;1;0,008514434;0,090759874;0,071373906;;
2247;1;0,008700447;0,092742682;0,072933194;;
2248;1;0,008887337;0,094734844;0,074499838;;
2249;1;0,009074536;0,0967303;0,076069071;;
2250;1;0,009263171;0,098741064;0,077650344;;
2251;1;0,009452012;0,100754019;0,079233339;;
2252;1;0,009640922;0,102767714;0,080816916;;
2253;1;0,009830052;0,104783749;0,082402335;;
2254;1;0,010020528;0,106814135;0,083999038;;
2255;1;0,010212182;0,108857073;0,085605612;;
2256;1;0,010404116;0,110902996;0,087214533;;
2257;1;0,010598898;0,112979285;0,088847334;;
2258;1;0,010793635;0,115055088;0,090479754;;
2259;1;0,010986638;0,117112413;0,092097642;;
2260;1;0,011179539;0,119168642;0,093714668;;
2261;1;0,011370531;0,121204534;0,095315701;;
2262;1;0,011562305;0,12324875;0,096923281;;
2263;1;0,011753977;0,125291886;0,09853001;;
2264;1;0,01194474;0,127325328;0,100129117;;
2265;1;0,012135408;0,129357757;0,101727426;;
2266;1;0,012325919;0,131388519;0,103324426;;
2267;1;0,012516255;0,133417416;0,104919957;;
2268;1;0,012705604;0,13543578;0,106507207;;
2269;1;0,012894978;0,137454417;0,10809467;;
2270;1;0,013084181;0,139471238;0,109680706;;
2271;1;0,013273296;0,141487114;0,111265998;;
2272;1;0,013462095;0,143499619;0,11284864;;
2273;1;0,013649617;0,145498515;0,114420579;;
2274;1;0,013836851;0,147494343;0,115990106;;
2275;1;0,014023856;0,149487733;0,117557715;;
2276;1;0,014208512;0,151456082;0,119105632;;
2277;1;0,014392895;0,153421516;0,120651257;;
2278;1;0,0145786;0,155401043;0,122207965;;
2279;1;0,014763832;0,15737553;0,123760708;;
2280;1;0,014948147;0,159340237;0,125305761;;
2281;1;0,015131816;0,16129807;0,126845409;;
2282;1;0,01531251;0,163224182;0,128360111;;
2283;1;0,015492778;0,165145751;0,12987124;;
2284;1;0,015673768;0,167075015;0,13138842;;
2285;1;0,015852449;0,168979678;0,132886254;;
2286;1;0,016030418;0,170876747;0,134378117;;
2287;1;0,016205831;0,172746559;0,135848543;;
2288;1;0,016380495;0,174608402;0,137312704;;
2289;1;0,016552194;0,176438633;0,138752004;;
2290;1;0,016723225;0,178261738;0,140185701;;
2291;1;0,016892935;0,180070775;0,141608334;;
2292;1;0,017060043;0,181852062;0,143009145;;
2293;1;0,017226276;0,183624028;0,144402626;;
2294;1;0,017388715;0,185355548;0,1457643;;
2295;1;0,017550454;0,187079609;0,147120108;;
2296;1;0,01771027;0,188783177;0,148459801;;
2297;1;0,017869371;0,190479117;0,149793494;;
2298;1;0,018026777;0,192156997;0,151112985;;
2299;1;0,018181617;0,19380751;0,152410955;;
2300;1;0,018335753;0,195450536;0,153703037;;
2301;1;0,018488769;0,197081607;0,154985717;;
2302;1;0,018640785;0,198702031;0,156260024;;
2303;1;0,018787377;0,200264635;0,157488862;;
2304;1;0,018933015;0,201817066;0,1587097;;
2305;1;0,019074062;0,203320564;0,159892056;;
2306;1;0,019208476;0,204753351;0,161018805;;
2307;1;0,019341836;0,206174903;0,162136719;;
2308;1;0,019468911;0,207529467;0,163201953;;
2309;1;0,019595015;0,208873671;0,16425904;;
2310;1;0,019716887;0,210172777;0,165280662;;
2311;1;0,019837678;0,211460345;0,16629321;;
2312;1;0,019952922;0,2126888;0,167259272;;
2313;1;0,02006498;0,213883278;0,168198614;;
2314;1;0,020175936;0,215066019;0,169128726;;
2315;1;0,020282627;0,216203302;0,17002309;;
2316;1;0,020388383;0,21733061;0,170909609;;
2317;1;0,020492321;0,218438538;0,171780887;;
2318;1;0,020595744;0,21954098;0,172647852;;
2319;1;0,020703539;0,220690018;0,17355146;;
2320;1;0,020810547;0,221830681;0,174448482;;
2321;1;0,020917468;0,222970405;0,175344765;;
2322;1;0,021019391;0,224056852;0,176199151;;
2323;1;0,021120432;0,225133902;0,177046147;;
2324;1;0,021219311;0,226187909;0,177875022;;
2325;1;0,02131737;0,22723317;0,178697019;;
2326;1;0,021413817;0,228261255;0,179505509;;
2327;1;0,021509206;0,229278051;0,180305122;;
2328;1;0,021599579;0,230241387;0,181062693;;
2329;1;0,021685724;0,23115965;0,181784818;;
2330;1;0,021770902;0,232067609;0,18249884;;
2331;1;0,021852899;0,232941658;0,183186196;;
2332;1;0,021933651;0,233802435;0,183863114;;
2333;1;0,022007952;0,234594453;0,18448596;;
2334;1;0,022081352;0,235376864;0,185101251;;
2335;1;0,022153578;0,236146757;0,185706698;;
2336;1;0,022219988;0,236854652;0,186263389;;
2337;1;0,022285169;0,237549457;0,186809786;;
